comment,Нравится скорость отработки заявок,Нравится качество выполнения заявки,Нравится качество работы сотрудников,Понравилось выполнение заявки,Вопрос решен,id,original_rating,selection_score
"приехали быстро , всё сделали чётко. благодарю",1,1,1,1,0,3952848,5,17.099999999999998
"Спасибо большое мастеру, все быстро сделал",1,0,1,1,0,3953192,5,15.8
"Сантехник объяснил причину проблемы, что для хорошего напора воды нужно менять на смеситель с 40 картриджем, теперь понятно! Спасибо!",0,0,1,0,1,3953818,5,46.9
"Отличный мастер, решил профессионально вопрос. Большое спасибо!!!",0,0,1,1,1,3954582,5,23.599999999999998
"спасибо вам большое, консультанты помогли с решением проблем, объяснили все очень доступно! спасибо вам огромное 🙏",0,0,1,0,1,3954839,5,39.8
Спасибо большое за быструю реакцию! Успокоили 💙,1,0,1,0,0,3955195,5,16.900000000000002
быстро прислали код. единственное что смущает коды легкие слишком.,1,0,0,1,0,4237692,5,23.500000000000004
спасибо! быстро и оперативно закрепили светильник. 👍,1,0,0,1,0,4237302,5,18.699999999999996
"всё прекрасно и оперативно, но акт хотелось бы получить",1,0,0,1,0,4236894,5,19.6
спасибо за быстрый ответ. все понятно объяснили,1,0,1,0,1,4236551,5,16.900000000000002
"все отлично! сантехник оперативно пришел, при мне все устранил! видно, что спец в своем деле!",1,0,1,1,1,4236406,5,33.1
специалист вышел на связь по заявке достаточно быстро. консультация уже не требовалась. муж справился с задачей самостоятельно .,1,0,1,0,0,4235894,5,45.2
"всё отлично, сделали в тот де день. спасибо",1,0,0,1,1,4235354,5,15.9
"спасибо , антону, за грамотность в своей работе!",0,0,1,1,0,4234406,5,17.1
спасибо дмитрию. пришел оперативно. все сделал.,1,0,1,1,1,4234085,5,17.0
быстро со слов сантехника все сделали,1,0,1,1,1,4233528,5,13.700000000000001
мастер пришел быстро. пломбу тоже поставил быстро. спасибо,1,0,1,1,1,4233496,5,20.899999999999995
"оперативно пришли, выполнили осмотр, составили акт! на все интересующие вопросы ответили. благодарю!",1,0,1,1,1,4233035,5,35.6
мастер молодец . быстро и все качественно сделал,1,1,1,1,1,4232957,5,18.5
довольно быстро ликвидировали отсутствие электричества.,1,0,0,1,1,4232820,5,18.8
"кирилл, спасибо! позвонили, разъяснили, что нет таких ограничении у нас.",1,0,1,0,1,4232359,5,25.299999999999997
специалист оперативно устранил поломку! очень доволен и благодарим за оперативность). специалисту выписать премию),1,0,1,0,1,4231245,5,40.2
"быстро отреагировали, достаточно быстро устранили течь. вечером сантехник ещё раз пришёл удостовериться, что все в порядке. спасибо",1,1,1,0,1,4231128,5,46.0
"отличная работа! быстро, качественно, аккуратно. спасибо большое)",1,1,1,1,1,4230769,5,23.299999999999997
спасибо большое ! оперативно помогли решить вопрос .,1,0,0,0,1,4229497,5,19.1
сантехники приехали оперативно и устранили протечку в смесителе. спасибо!,1,0,1,0,1,4228897,5,25.799999999999997
"специалист отличный, вежливый и быстро сделал, я очень довольна.",1,0,1,1,1,4228768,5,23.5
"быстро решили проблему , электрики пришли почти сразу после заявки , спасибо, большое",1,0,1,0,1,4228491,5,30.900000000000002
здравствуйте! спасибо огромное специалистам за быстрый ответ и решение нашей проблемы!,1,0,1,0,1,4228481,5,30.599999999999998
оперативно и быстро! супер всегда бы так,1,0,0,1,0,4228411,5,14.8
спасибо большое за помощь в решении вопроса.,0,0,0,0,1,4227850,5,16.0
"на этот раз быстро отключили, спасибо!",1,0,0,0,1,4227759,5,14.000000000000002
"оценка за оперативность — отлично, за уборку — хорошо. спасибо!",1,1,0,0,1,4227554,5,22.1
огромное спасибо! вопрос был решен быстро! специалист профессионал в своем деле!,1,0,1,0,1,4227035,5,29.5
"спасибо, что быстро отреагировали. проблема решена.",1,0,0,0,1,4226802,5,18.199999999999996
"приятно удивлена. вопрос решился менее чем за сутки! спасибо, так красиво теперь и ничего не отравляет воздух и не портит вид!!",1,1,0,1,1,4226734,5,45.4
спасибо большое что есть специалисты в ук которым небезразлично!! спасибо куприянову и.и.,0,0,1,0,1,4226636,5,30.9
быстро исправили причину шума щитка. спасибо за оперативность,1,0,0,0,1,4226443,5,22.3
"спасибо большое за разъяснения,теперь все ясно и понятно.",0,0,0,0,1,4226268,5,20.0
оперативно отреагировали быстро сделали спасибо,1,0,0,0,1,4226175,5,17.1
спасибо! александр все оперативно выполнил. очень внимательно и уважительно исполнил заказ.,1,0,1,1,1,4225724,5,32.300000000000004
"очень оперативно решили вопрос, спасибо!",1,0,0,0,1,4225626,5,15.0
"всё было сделано быстро и качественно, огромное спасибо мастеру",1,1,1,0,1,4225032,5,23.099999999999998
"спасибо большое!!! всё очень оперативно! приятно, когда нас слышат и понимают. всего доброго!",1,0,1,1,1,4223869,5,32.9
"сантехник пришел в день об обращения, вопрос решен на месте, спасибо за оперативность.",1,0,1,0,1,4223661,5,30.900000000000002
быстро и оперативно помогли решить вопрос!,1,0,0,0,1,4223142,5,15.700000000000001
"сергей настоящий профи! все четко и по делу, очень рада, что именно ему досталась наша заявка, спасибо!",0,0,1,1,1,4222643,5,36.8
"очень вежливый, контактный мастер. только положительные впечатления от подхода к работе и ее выполнению.",0,0,1,1,1,4222607,5,36.49999999999999
сантехник андрей качественно выполнил свою работу.,0,1,1,0,1,4222340,5,18.0
"спасибо, очень быстро решили вопрос по заявке!",1,0,0,0,1,4221917,5,17.4
"большое спасибо, все починили очень оперативно!",1,0,0,1,0,4221077,5,16.700000000000003
"благодарю ростислава, быстро и качественно заменил резинку манжету в стиральной машине.",1,1,1,1,0,4220856,5,30.999999999999996
"прекрасный мастер. все оперативно решил, благодарю !",1,0,1,1,1,4220642,5,19.2
спасибо за оперативность за быструю обратную связь,1,0,0,0,0,4220372,5,17.9
"быстро, оперативно, сотрудник прибыл как по таймеру. спасибо!",1,0,1,0,0,4220220,5,22.1
благодарю! вопрос был оперативно решен,1,0,0,1,1,4219996,5,14.3
"доводчик заменили в тот же день, спасибо.",1,0,0,1,1,4219754,5,14.8
"спасибо мастеру, починил всё быстро и профессионально, поставил новый доводчик. дверь теперь закрывается, теплопотерь нет.",1,1,1,1,1,4219518,5,43.2
"спасибо большое что услышали, убрали возле 38/1 мусор.теперь хоть рядом с банками бросать не будут люди мусор!",0,0,0,1,1,4219489,5,38.49999999999999
электрик все отлично объяснил и помог устранить проблему. очень профессионально. молодец.,0,1,1,1,1,4219378,5,31.599999999999998
"хоть фото не этого места, но подтверждаю что работа выполнена и главное выполнена оперативно.",1,0,0,1,1,4219364,5,32.599999999999994
спасибо! оперативно получены по электронной почте.,1,0,0,1,1,4219271,5,17.6
электрик справился с проблемой за 5минут молодец,1,0,1,1,1,4218908,5,17.2
очень оперативно решили проблему и восстановили освещение в холле.,1,0,0,1,1,4218859,5,23.9
